    year   area_ha age_yrs
266 2018  19.49000       7
267 2018   4.09000       8
268 2018   6.48000       8
269 2018  11.80000       8
270 2018  15.70000       8
271 2018  19.20000       8
272 2018   3.79000      14
273 2018   8.40000      14
274 2018  10.46000      14
275 2018  13.70000      14
276 2018   0.93000      15
277 2018   7.75000      15
278 2018   9.29000      15
279 2018  22.90000      15
280 2018  22.70000      17
281 2018   1.80000      18
282 2018   2.80000      18
283 2018   4.70000      18
284 2018  50.02000      18
285 2018   4.12000      20
286 2018  20.40000      20
287 2018  54.01000      20
288 2018  14.80000      21
289 2018  90.90000      21
290 2018  11.70000      22
291 2018  18.80000      23
292 2018   7.63000      27
293 2018  23.60000      27
294 2018  12.60000      28
